data;
set S := a b c d e f g h i g k l m n o p q r s t u v w x y z zz zzz;

param cost:         a           b           c           d           e           f           g           h           i           g           k           l           m           n           o           p           q           r           s           t           u           v           w           x           y           z          zz         zzz :=
        a	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	        0	     4230	     4552	     4728	     5155	     4615	     4593	     4170	     4269	     4502	     4265	     4603	     4469	     4451
        b	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4261	        0	     4472	     4690	     5189	     4750	     4650	     4309	     4435	     4619	     4434	     4732	     4551	     4506
        c	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4654	     4557	        0	     4410	     4911	     4522	     4573	     4633	     4802	     5061	     4772	     4504	     4593	     4325
        d	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4869	     4823	     4353	        0	     4633	     4384	     4544	     4823	     4977	     5270	     4937	     4377	     4641	     4434
        e	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4962	     4990	     4762	     4534	        0	     4453	     4555	     4904	     5182	     5480	     5134	     4469	     4664	     4665
        f	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4732	     4631	     4444	     4331	     4533	        0	     4277	     4667	     4790	     5094	     4745	     4110	     4405	     4308
        g	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4502	     4549	     4486	     4462	     4658	     4244	        0	     4443	     4623	     4925	     4575	     4239	     4229	     4301
        h	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4156	     4270	     4534	     4690	     5085	     4562	     4520	        0	     4262	     4539	     4239	     4550	     4393	     4412
        i	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4237	     4372	     4673	     4816	     4984	     4663	     4526	     4231	        0	     4396	     4136	     4653	     4415	     4541
        g	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4427	     4524	     4885	     5056	     5227	     4912	     4774	     4458	     4341	        0	     4379	     4901	     4662	     4777
        k	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4234	     4372	     4649	     4784	     4945	     4626	     4488	     4212	     4136	     4442	        0	     4616	     4376	     4510
        l	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4716	     4615	     4429	     4326	     4552	     4113	     4272	     4651	     4778	     5080	     4733	        0	     4395	     4291
        m	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4400	     4468	     4502	     4542	     4791	     4348	     4204	     4338	     4486	     4789	     4439	     4340	        0	     4315
        n	  153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	     4530	     4431	     4282	     4372	     4792	     4355	     4348	     4483	     4640	     4930	     4603	     4336	     4364	        0
        o	       0	     4261	     4654	     4869	     4962	     4732	     4502	     4156	     4237	     4427	     4234	     4716	     4400	     4530	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
        p	    4230	        0	     4557	     4823	     4990	     4631	     4549	     4270	     4372	     4524	     4372	     4615	     4468	     4431	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
        q	    4552	     4472	        0	     4353	     4762	     4444	     4486	     4534	     4673	     4885	     4649	     4429	     4502	     4282	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
        r	    4728	     4690	     4410	        0	     4534	     4331	     4462	     4690	     4816	     5056	     4784	     4326	     4542	     4372	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
        s	    5155	     5189	     4911	     4633	        0	     4533	     4658	     5085	     4984	     5227	     4945	     4552	     4791	     4792	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
        t	    4615	     4750	     4522	     4384	     4453	        0	     4244	     4562	     4663	     4912	     4626	     4113	     4348	     4355	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
        u	    4593	     4650	     4573	     4544	     4555	     4277	        0	     4520	     4526	     4774	     4488	     4272	     4204	     4348	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
        v	    4170	     4309	     4633	     4823	     4904	     4667	     4443	        0	     4231	     4458	     4212	     4651	     4338	     4483	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
        w	    4269	     4435	     4802	     4977	     5182	     4790	     4623	     4262	        0	     4341	     4136	     4778	     4486	     4640	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
        x	    4502	     4619	     5061	     5270	     5480	     5094	     4925	     4539	     4396	        0	     4442	     5080	     4789	     4930	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
        y	    4265	     4434	     4772	     4937	     5134	     4745	     4575	     4239	     4136	     4379	        0	     4733	     4439	     4603	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
        z	    4603	     4732	     4504	     4377	     4469	     4110	     4239	     4550	     4653	     4901	     4616	        0	     4340	     4336	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
       zz	    4469	     4551	     4593	     4641	     4664	     4405	     4229	     4393	     4415	     4662	     4376	     4395	        0	     4364	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440
      zzz	    4451	     4506	     4325	     4434	     4665	     4308	     4301	     4412	     4541	     4777	     4510	     4291	     4315	        0	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440	   153440;
